,m,b,r,sd,perChange,bottomLinePerDistance,bottomLineXUp,bottomLineXDown,safetyLineXUp,safetyLineXDown,topLineXUp,topLineXDown,midLineXUp,midLineXDown,smaDist,lastHigh,lastLow,averageDown,averageUp,Ticker,TP%,SL%,days,success
326,0.8708476155351187,0.8255901151026017,0.8272156615186751,0.23985045952430012,0.35880730746501177,0.4021485544667572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4776477877368259,0.22900418229076658,0.2839963361619368,0.4389290066859069,0.5920271577894675,MA,-0.0001804057848913132,0.0523109755738429,21,True
327,0.8587742835998102,0.8289820958673858,0.8195770078470425,0.24727596725763568,0.34149409312665613,0.4530940832252048,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.46093137664123207,0.1513543878247245,0.38471710787823465,0.4389290066859069,0.5920271577894675,MA,-0.013489619835158062,0.06492624752105636,21,True
328,0.17594589497361737,0.1727337747421463,0.4119266394992581,0.36509632616174903,0.1645324540266094,0.43055552737280306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4539912576096469,0.2049952995173298,0.26833459104553,0.26282763122105063,0.2290159488392798,MA,0.010715729500317517,0.0533578411292448,21,True
329,0.17076277781769533,0.17433763183702305,0.4152052150974087,0.3642361451804387,0.48326594625262487,0.575095535408935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44385384791740584,0.06593137691530654,0.27898928693898384,0.2247692207779906,0.2290159488392798,MA,-0.015068950973302409,0.0775079209953291,21,True
330,0.16048536825310902,0.17752599378783135,0.40517838714984405,0.37107176685123777,0.027463828803403877,0.3940084981412483,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42735537910416166,0.2378551415868174,0.05598426325333146,0.2247692207779906,0.2290159488392798,MA,0.027922230411902893,0.04746550335110311,21,True
331,0.14975146959888613,0.18086446724480104,0.3935424129892513,0.37889676032073133,0.2331934442382661,0.3764133877744512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3987377852365531,0.2548702212780853,0.03391373532594228,0.2247692207779906,0.2290159488392798,MA,0.03872207056499222,0.04438548683448207,21,True
332,0.1419205217226789,0.18330625798159172,0.3903831218989854,0.3814813892651687,0.42801322536942477,0.4787993020234468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36678238943557123,0.15688075142713673,0.16101742042036474,0.2247692207779906,0.2290159488392798,MA,0.019732977738761148,0.06185527322953144,21,True
333,0.13339827346477676,0.18597034964601544,0.38522830908102496,0.3852299912300406,0.22526015704248367,0.4528518771891938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3408023383986735,0.18093872514380333,0.12981144369710682,0.2247692207779906,0.2290159488392798,MA,0.032557516149557486,0.057625588658250404,21,True
334,0.12687227266109505,0.18801557042134076,0.38522215337525373,0.38603577025348323,0.3678096949365936,0.5235601340352738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316829993057914,0.11228695067807438,0.21886074191392796,0.2247692207779906,0.2290159488392798,MA,0.019441761593003593,0.06959581916475643,21,True
335,0.12137740069124264,0.18974198848483775,0.38752709049028594,0.38563580318416973,0.3135396981425582,0.5597100870830036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2969203361022106,0.07590682771517109,0.2660499725507183,0.2247692207779906,0.2290159488392798,MA,0.012625593004554236,0.0758166666823833,21,True
